date,price
2021-11-24,104.63
2021-11-25,105.76
2021-11-26,104.08
2021-11-29,103.6
2021-11-30,104.62
2021-12-01,105.5
2021-12-02,108.6
2021-12-03,108.06
2021-12-06,108.99
2021-12-07,109.38
2021-12-08,109.97
2021-12-09,110.46
2021-12-10,110.86
2021-12-13,108.21
2021-12-14,110.79
2021-12-15,111.43
2021-12-16,110.75
2021-12-17,114.14
2021-12-20,113.91
2021-12-21,115.26
2021-12-22,116.08
2021-12-23,116.23
2021-12-24,116.73
2021-12-27,117.12
2021-12-28,117.44
2021-12-29,116.58
2021-12-30,117.08
2021-12-31,117.18
2022-01-03,116.41
2022-01-04,117.31
2022-01-05,117.56
2022-01-06,116.07
2022-01-07,114.63
2022-01-10,113.73
2022-01-11,115.06
2022-01-12,115.3
2022-01-13,115.97
2022-01-14,115.37
2022-01-17,115.32
2022-01-18,113.94
2022-01-19,111.68
2022-01-20,110.81
2022-01-21,109.86
2022-01-24,110.12
2022-01-25,109.59
2022-01-26,109.52
2022-01-27,106.62
2022-01-28,106.45
2022-01-31,109.11
2022-02-01,109.83
2022-02-02,109.89
2022-02-03,109.03
2022-02-04,107.71
2022-02-08,109.06
2022-02-09,110.57
2022-02-10,107.01
2022-02-11,109.23
2022-02-14,107.6
2022-02-15,108.62
2022-02-16,109.94
2022-02-17,107.48
2022-02-18,105.58
2022-02-21,104.26
2022-02-22,106.55
2022-02-23,103.77
2022-02-24,103.51
2022-02-25,104.94
2022-02-28,105.98
2022-03-01,107.19
2022-03-02,108.91
2022-03-03,109.1
2022-03-04,109.11
2022-03-07,108.02
2022-03-08,111.45
2022-03-09,111.53
2022-03-10,110.66
2022-03-11,111.0
2022-03-14,109.48
2022-03-15,110.52
2022-03-16,112.29
2022-03-17,113.5
2022-03-18,114.19
2022-03-22,116.83
2022-03-23,116.28
2022-03-24,117.74
2022-03-25,117.89
2022-03-28,116.71
2022-03-29,117.19
2022-03-30,117.07
2022-03-31,118.71
2022-04-01,120.92
2022-04-04,120.03
2022-04-05,118.74
2022-04-06,119.66
2022-04-07,121.08
2022-04-08,121.13
2022-04-11,120.47
2022-04-12,119.75
2022-04-13,121.54
2022-04-18,121.67
2022-04-19,122.81
2022-04-20,120.01
2022-04-21,118.57
2022-04-22,117.46
2022-04-25,116.82
2022-04-26,117.06
2022-04-27,113.57
2022-04-28,113.32
2022-04-29,109.0
2022-05-02,109.33
2022-05-03,107.93
2022-05-04,108.45
2022-05-05,105.84
2022-05-06,103.11
2022-05-09,102.56
2022-05-10,103.71
2022-05-11,105.97
2022-05-12,107.86
2022-05-13,104.99
2022-05-16,105.43
2022-05-17,108.72
2022-05-18,109.44
2022-05-19,112.04
2022-05-20,113.87
2022-05-23,114.79
2022-05-24,115.84
2022-05-25,117.44
2022-05-26,119.23
2022-05-27,119.01
2022-05-30,116.86
2022-05-31,114.13
2022-06-01,114.49
2022-06-02,112.64
2022-06-03,110.78
2022-06-06,108.49
2022-06-07,108.31
2022-06-08,107.45
2022-06-09,106.36
2022-06-10,105.55
2022-06-13,105.65
2022-06-14,106.42
2022-06-15,106.22
2022-06-16,105.18
2022-06-17,106.54
